id;bank_id;name;description;icon_filename;mcc_additional_description;og_id
1;1;Авто;Кэшбэк за покупку автозапчастей, оплату услуг в автосервисах, на СТО и автомойках, за оплату проезда по платным дорогам;auto_kv.png;;
2;1;АЗС;Кэшбэк за оплату топлива, а также покупок в магазине и кафе на АЗС картами банка;azs_kv.png;;
3;1;Сервис Тревел;Кэшбэк за покупки билетов, бронирования туров и отелей только через сервис Тревел в мобильном приложении Альфа-Банка;travel_kv.png;4722 (покупки на сайте travel.alfabank.ru или в Разделе Путешествия мобильного банка);102
4;1;Аренда авто;Кэшбэк за аренду автомобилей в дилерских центрах, долгосрочную аренду и каршеринг;rent_auto_kv.png;;
5;1;Дом и ремонт;Кэшбэк за покупки в магазинах для ремонта и обустройства дома, а также в мебельных салонах;home_kv.png;;165
6;1;Животные;Кэшбэк за покупки в зоомагазинах и ветклиниках ;pets_kv.png;;
7;1;Аптеки;Кэшбэк за покупки в аптеках;medicine_kv.png;;584
8;1;Кафе и рестораны;Кэшбэк за покупки в ресторанах, кафе, барах, кроме фастфуда;cafe_kv.png;;168
9;1;Книги;Кэшбэк за покупки в книжных и канцелярских магазинах, а также в газетных киосках;book_kv.png;;
10;1;Коммунальные услуги;Кэшбэк за оплату коммунальных услуг через приложение Альфа-Банка и в Альфа-Онлайн;zhkh_kv.png;;
11;1;Красота;Кэшбэк за покупки в салонах красоты и SPA-салонах;beauty_kv.png;;171
12;1;Образование;Кэшбэк за оплату обучения в государственных и частных образовательных учреждениях, курсов и обучения на онлайн-платформах;education_kv.png;;
13;1;Одежда и обувь;Кэшбэк за покупки в магазинах мужской и женской одежды и обуви, спецодежды, а также за оплату проката костюмов;clothes_kv.png;;673
14;1;На связь Билайн;Оплата связи через Альфа-Онлайн, в приложениях Альфа-Банка и билайн. Максимальный кэшбэк– 500 ₽ в месяц;logo_new_beeline__xl_nbg.png;;188
15;1;Подели;Оплата покупок по частям в сервисе Подели;podeli_clic.png;;
16;1;Подписки;Оплата подписок на сервисы Яндекс Плюс, IVI, OKKO, Premier;podpiska.png;;
17;1;Путешествия;Оплата туров, проживания в отелях, покупка авиабилетов онлайн, в офисах авиакомпаний и кассах аэропортов;travel_tur_kv.png;;
18;1;Развлечения;Кэшбэк за покупки в кинотеатрах, фитнес-клубах, парках аттракционов, музеях и других местах досуга, отдыха и спорта;entertainment_kv.png;;
19;1;Связь, интернет и ТВ;Кэшбэк за оплату мобильной связи, интернета и домашнего телевидения ;internet_tv_kv.png;;
20;1;Спортивные товары;Кэшбэк за покупки в спортивных магазинах;sport_kv.png;;
